"<img src=""ng-chord-000b3fd1b0a0af0a2b346d3571dcae87-f_sharp_major_eisu_s_B_b__B_gis_s_B.png"">";"E♯ dim"
"<img src=""ng-chord-005b94d047566406b44b92966123e81c-b_major_cisu_s_B_ais_s_B_fis_s_B.png"">";"F♯ maj"
"<img src=""ng-chord-005bf56a2c0b562bb691eed7ab700377-e_major_fisu_s_T_cisu_s_B_a__B.png"">";"F♯ min"
"<img src=""ng-chord-008ab6f19c8d9d0c97300fc6388f47fd-g_major_d__B_bl__B_fisl_s_B.png"">";"B min"
"<img src=""ng-chord-00c3760825260c67283395c8f5be79ad-b_flat_major_d__B_besl_f_B_gl__B.png"">";"G min"
"<img src=""ng-chord-0109c5a411a1a6042dad2f6d5e38741f-e_major_al__B_el__B_cisl_s_B.png"">";"A maj"
"<img src=""ng-chord-012890906f60c98d4e9928d7ed9a0229-g_flat_major_aesu_f_T_fu__T_cesu_f_B.png"">";"F dim"
"<img src=""ng-chord-015162b1f8a12c0ba38ac2bf317b277f-c_major_a__T_f__B_d__B.png"">";"D min"
"<img src=""ng-chord-016bfe4e8a8624b1efcf8216d31f579a-e_flat_major_besu_f_T_fu__T_du__T.png"">";"B♭ maj"
"<img src=""ng-chord-018052af1c867ae4f54baf418ec008d4-d_major_e__B_cis_s_B_gl__B.png"">";"C♯ dim"
"<img src=""ng-chord-01815c18fec1421993dc95299ddfdf35-g_major_auu__T_euu__T_cuu__T.png"">";"A min"
"<img src=""ng-chord-01bc480442c7c2d2332c456b074440c2-b_flat_major_guu__T_esuu_f_T_cuu__T.png"">";"C min"
"<img src=""ng-chord-01bf20de1708af5ba0e430e6031eea1d-g_flat_major_besuu_f_T_fuu__T_desuu_f_T.png"">";"B♭ min"
"<img src=""ng-chord-01d4c68e0a0eaf169aa15e2589f1516b-b_flat_major_duu__T_besu_f_T_fu__T.png"">";"B♭ maj"
"<img src=""ng-chord-0211eca9b357caf483de911f00f629ea-d_flat_major_fu__T_desu_f_T_aes_f_B.png"">";"D♭ maj"
"<img src=""ng-chord-023eb28a0b442aa214e8a73f6ee69d3e-e_major_a__T_fis_s_B_dis_s_B.png"">";"D♯ dim"
"<img src=""ng-chord-02467c580decc7f004e724f84943d45c-a_flat_major_desuu_f_T_besu_f_T_fu__T.png"">";"B♭ min"
"<img src=""ng-chord-0258152df9a82eed358db79b1ed561e3-d_major_b__B_fis_s_B_d__B.png"">";"B min"
"<img src=""ng-chord-025d5db9d490b7190e86ab3decd90893-b_major_fisu_s_T_disu_s_B_b__B.png"">";"B maj"
"<img src=""ng-chord-026379da8c014e3c6bc714e370a7b4b1-b_major_aisuu_s_T_fisuu_s_T_disuu_s_T.png"">";"D♯ min"
"<img src=""ng-chord-02817fd9914c3b13a68fd7cf6c74883b-f_major_fu__T_du__T_a__B.png"">";"D min"
"<img src=""ng-chord-02dc82efc8baab0af3bf760af686a336-a_major_eu__B_cisu_s_B_a__B.png"">";"A maj"
"<img src=""ng-chord-02fafd31aeee3aa88c03a6e088ebedbf-e_major_bl__B_gisl_s_B_disl_s_B.png"">";"G♯ min"
"<img src=""ng-chord-0301d3ad8af6ee720aa64e33496ad912-c_major_b__B_g__B_d__B.png"">";"G maj"
"<img src=""ng-chord-03459e60d9a395fc3f309aba672b71b6-e_flat_major_fu__T_du__B_aes_f_B.png"">";"D dim"
"<img src=""ng-chord-0346fcb5974f1799ecc5d654a9388478-b_flat_major_a__B_f__B_d__B.png"">";"D min"
"<img src=""ng-chord-0366a988c1e153ab31ab8087c02bc1db-b_flat_major_g__B_d__B_besl_f_B.png"">";"G min"
